date	phase
-3300-01-02T08:37:29	0
-3300-01-09T14:12:18	1
-3300-01-16T08:39:14	2
-3300-01-24T00:18:12	3
-3300-01-31T21:23:50	0
-3300-02-07T19:52:28	1
-3300-02-14T19:29:09	2
-3300-02-22T18:31:46	3
-3300-03-02T07:25:15	0
-3300-03-09T00:49:29	1
-3300-03-16T07:36:40	2
-3300-03-24T10:52:56	3
-3300-03-31T15:35:46	0
-3300-04-07T06:26:15	1
-3300-04-14T21:23:50	2
-3300-04-23T00:55:04	3
-3300-04-29T22:50:30	0
-3300-05-06T14:06:57	1
-3300-05-14T12:36:18	2
-3300-05-22T12:44:59	3
-3300-05-29T06:00:55	0
-3300-06-05T01:05:47	1
-3300-06-13T04:32:49	2
-3300-06-20T22:45:31	3
-3300-06-27T13:59:15	0
-3300-07-04T16:06:50	1
-3300-07-12T20:28:47	2
-3300-07-20T07:24:31	3
-3300-07-26T23:41:33	0
-3300-08-03T10:58:09	1
-3300-08-11T11:53:45	2
-3300-08-18T15:16:09	3
-3300-08-25T12:00:02	0
-3300-09-02T08:19:36	1
-3300-09-10T02:28:47	2
-3300-09-16T23:07:30	3
-3300-09-24T03:19:57	0
-3300-10-02T06:06:05	1
-3300-10-09T15:53:59	2
-3300-10-16T07:57:09	3
-3300-10-23T21:11:40	0
-3300-11-01T02:12:01	1
-3300-11-08T03:47:30	2
-3300-11-14T18:38:38	3
-3300-11-22T16:09:14	0
-3300-11-30T19:03:43	1
-3300-12-07T14:01:39	2
-3300-12-14T07:38:01	3
-3300-12-22T10:30:15	0
-3300-12-30T07:53:51	1
-3299-01-05T22:57:42	2
-3299-01-12T22:42:26	3
-3299-01-21T03:00:53	0
-3299-01-28T16:47:28	1
-3299-02-04T07:23:44	2
-3299-02-11T15:09:32	3
-3299-02-19T17:09:08	0
-3299-02-26T22:37:36	1
-3299-03-05T16:18:44	2
-3299-03-13T08:09:56	3
-3299-03-21T04:54:09	0
-3299-03-28T02:50:14	1
-3299-04-04T02:34:17	2
-3299-04-12T01:04:15	3
-3299-04-19T14:35:43	0
-3299-04-26T07:06:00	1
-3299-05-03T14:42:41	2
-3299-05-11T17:23:15	3
-3299-05-18T22:51:37	0
-3299-05-25T13:04:27	1
-3299-06-02T04:55:05	2
-3299-06-10T08:37:38	3
-3299-06-17T06:35:51	0
-3299-06-23T22:09:29	1
-3299-07-01T21:03:42	2
-3299-07-09T22:15:23	3
-3299-07-16T14:51:20	0
-3299-07-23T11:12:41	1
-3299-07-31T14:39:15	2
-3299-08-08T09:53:42	3
-3299-08-15T00:35:53	0
-3299-08-22T04:19:21	1
-3299-08-30T08:43:45	2
-3299-09-06T19:36:31	3
-3299-09-13T12:25:08	0
-3299-09-21T00:42:42	1
-3299-09-29T01:55:36	2
-3299-10-06T04:01:20	3
-3299-10-13T02:20:35	0
-3299-10-20T22:47:58	1
-3299-10-28T16:59:41	2
-3299-11-04T12:06:34	3
-3299-11-11T17:54:29	0
-3299-11-19T20:25:43	1
-3299-11-27T05:22:58	2
-3299-12-03T20:47:59	3
-3299-12-11T10:27:58	0
-3299-12-19T15:23:26	1
-3299-12-26T15:21:38	2
-3298-01-02T06:41:49	3
-3298-01-10T03:21:43	0
-3298-01-18T06:14:28	1
-3298-01-24T23:41:32	2
-3298-01-31T18:05:20	3
-3298-02-08T19:51:45	0
-3298-02-16T16:46:58	1
-3298-02-23T07:16:05	2
-3298-03-02T07:08:33	3
-3298-03-10T11:08:25	0
-3298-03-17T23:52:00	1
-3298-03-24T14:55:42	2
-3298-03-31T21:59:26	3
-3298-04-09T00:32:02	0
-3298-04-16T04:53:20	1
-3298-04-22T23:28:06	2
-3298-04-30T14:34:51	3
-3298-05-08T11:54:03	0
-3298-05-15T09:23:07	1
-3298-05-22T09:42:38	2
-3298-05-30T08:24:23	3
-3298-06-06T21:44:27	0
-3298-06-13T14:48:35	1
-3298-06-20T22:28:34	2
-3298-06-29T02:24:54	3
-3298-07-06T06:59:00	0
-3298-07-12T22:25:40	1
-3298-07-20T14:17:36	2
-3298-07-28T19:19:44	3
-3298-08-04T16:33:57	0
-3298-08-11T09:14:39	1
-3298-08-19T08:51:15	2
-3298-08-27T10:10:52	3
-3298-09-03T03:02:34	0
-3298-09-09T23:52:35	1
-3298-09-18T04:39:53	2
-3298-09-25T22:36:27	3
-3298-10-02T14:27:52	0
-3298-10-09T18:16:27	1
-3298-10-17T23:34:16	2
-3298-10-25T08:46:20	3
-3298-11-01T02:39:02	0
-3298-11-08T15:20:59	1
-3298-11-16T15:55:47	2
-3298-11-23T17:10:08	3
-3298-11-30T15:35:38	0
-3298-12-08T12:57:28	1
-3298-12-16T05:14:51	2
-3298-12-23T00:29:25	3
-3298-12-30T05:30:50	0
-3297-01-07T08:42:26	1
-3297-01-14T15:52:51	2
-3297-01-21T07:35:42	3
-3297-01-28T20:29:36	0
-3297-02-06T01:03:55	1
-3297-02-13T00:29:21	2
-3297-02-19T15:29:02	3
-3297-02-27T12:06:42	0
-3297-03-07T13:44:03	1
-3297-03-14T07:46:41	2
-3297-03-21T01:11:39	3
-3297-03-29T03:32:00	0
-3297-04-05T23:15:31	1
-3297-04-12T14:32:09	2
-3297-04-19T13:34:35	3
-3297-04-27T17:59:56	0
-3297-05-05T06:31:16	1
-3297-05-11T21:44:53	2
-3297-05-19T04:58:41	3
-3297-05-27T07:14:45	0
-3297-06-03T12:29:50	1
-3297-06-10T06:36:22	2
-3297-06-17T22:59:06	3
-3297-06-25T19:31:37	0
-3297-07-02T18:14:38	1
-3297-07-09T18:17:23	2
-3297-07-17T18:28:12	3
-3297-07-25T07:17:11	0
-3297-08-01T00:57:30	1
-3297-08-08T09:28:59	2
-3297-08-16T13:59:18	3
-3297-08-23T18:47:49	0
-3297-08-30T09:55:14	1
-3297-09-07T03:47:53	2
-3297-09-15T08:10:43	3
-3297-09-22T06:02:28	0
-3297-09-28T22:11:23	1
-3297-10-06T23:40:51	2
-3297-10-14T23:55:13	3
-3297-10-21T16:55:33	0
-3297-10-28T14:04:47	1
-3297-11-05T19:08:37	2
-3297-11-13T12:27:32	3
-3297-11-20T03:35:47	0
-3297-11-27T08:46:00	1
-3297-12-05T12:39:34	2
-3297-12-12T21:40:28	3
-3297-12-19T14:30:07	0
-3297-12-27T04:32:29	1
-3296-01-04T03:27:13	2
-3296-01-11T04:14:54	3
-3296-01-18T02:09:52	0
-3296-01-25T23:39:13	1
-3296-02-02T15:20:27	2
-3296-02-09T09:29:02	3
-3296-02-16T14:52:11	0
-3296-02-24T16:58:12	1
-3296-03-03T00:35:28	2
-3296-03-09T14:56:24	3
-3296-03-17T04:33:39	0
-3296-03-25T07:59:12	1
-3296-04-01T07:54:04	2
-3296-04-07T22:05:14	3
-3296-04-15T18:59:59	0
-3296-04-23T20:33:18	1
-3296-04-30T14:20:03	2
-3296-05-07T08:02:58	3
-3296-05-15T09:57:32	0
-3296-05-23T06:45:02	1
-3296-05-29T21:10:01	2
-3296-06-05T21:25:19	3
-3296-06-14T01:13:20	0
-3296-06-21T14:56:54	1
-3296-06-28T05:39:59	2
-3296-07-05T14:12:26	3
-3296-07-13T16:25:51	0
-3296-07-20T21:55:58	1
-3296-07-27T16:47:50	2
-3296-08-04T09:49:12	3
-3296-08-12T07:00:58	0
-3296-08-19T04:52:06	1
-3296-08-26T06:55:26	2
-3296-09-03T07:04:22	3
-3296-09-10T20:24:51	0
-3296-09-17T13:03:01	1
-3296-09-24T23:42:10	2
-3296-10-03T04:08:29	3
-3296-10-10T08:23:53	0
-3296-10-16T23:28:57	1
-3296-10-24T18:15:23	2
-3296-11-01T22:52:15	3
-3296-11-08T19:10:00	0
-3296-11-15T12:28:39	1
-3296-11-23T13:23:16	2
-3296-12-01T13:38:22	3
-3296-12-08T05:09:02	0
-3296-12-15T03:38:30	1
-3296-12-23T07:41:16	2
-3296-12-31T00:04:48	3
-3295-01-06T14:47:29	0
-3295-01-13T20:15:56	1
-3295-01-21T23:47:07	2
-3295-01-29T07:01:26	3
-3295-02-05T00:28:54	0
-3295-02-12T13:39:48	1
-3295-02-20T12:51:19	2
-3295-02-27T11:56:23	3
-3295-03-06T10:39:32	0
-3295-03-14T07:10:04	1
-3295-03-21T22:58:22	2
