date	phase
1900-01-01T13:52:00	0
1900-01-08T05:40:00	1
1900-01-15T19:07:00	2
1900-01-23T23:53:00	3
1900-01-31T01:22:00	0
1900-02-06T16:23:00	1
1900-02-14T13:50:00	2
1900-02-22T16:44:00	3
1900-03-01T11:25:00	0
1900-03-08T05:34:00	1
1900-03-16T08:12:00	2
1900-03-24T05:36:00	3
1900-03-30T20:30:00	0
1900-04-06T20:54:00	1
1900-04-15T01:02:00	2
1900-04-22T14:33:00	3
1900-04-29T05:23:00	0
1900-05-06T13:39:00	1
1900-05-14T15:36:00	2
1900-05-21T20:31:00	3
1900-05-28T14:50:00	0
1900-06-05T06:58:00	1
1900-06-13T03:38:00	2
1900-06-20T00:57:00	3
1900-06-27T01:27:00	0
1900-07-05T00:13:00	1
1900-07-12T13:22:00	2
1900-07-19T05:31:00	3
1900-07-26T13:43:00	0
1900-08-03T16:45:00	1
1900-08-10T21:30:00	2
1900-08-17T11:46:00	3
1900-08-25T03:52:00	0
1900-09-02T07:55:00	1
1900-09-09T05:06:00	2
1900-09-15T20:57:00	3
1900-09-23T19:57:00	0
1900-10-01T21:10:00	1
1900-10-08T13:18:00	2
1900-10-15T09:51:00	3
1900-10-23T13:27:00	0
1900-10-31T08:17:00	1
1900-11-06T22:59:00	2
1900-11-14T02:37:00	3
1900-11-22T07:17:00	0
1900-11-29T17:35:00	1
1900-12-06T10:38:00	2
1900-12-13T22:42:00	3
1900-12-22T00:01:00	0
1900-12-29T01:48:00	1
1901-01-05T00:13:00	2
1901-01-12T20:38:00	3
1901-01-20T14:36:00	0
1901-01-27T09:52:00	1
1901-02-03T15:29:00	2
1901-02-11T18:12:00	3
1901-02-19T02:45:00	0
1901-02-25T18:38:00	1
1901-03-05T08:04:00	2
1901-03-13T13:06:00	3
1901-03-20T12:53:00	0
1901-03-27T04:39:00	1
1901-04-04T01:20:00	2
1901-04-12T03:57:00	3
1901-04-18T21:37:00	0
1901-04-25T16:15:00	1
1901-05-03T18:19:00	2
1901-05-11T14:38:00	3
1901-05-18T05:37:00	0
1901-05-25T05:39:00	1
1901-06-02T09:53:00	2
1901-06-09T22:00:00	3
1901-06-16T13:33:00	0
1901-06-23T20:59:00	1
1901-07-01T23:17:00	2
1901-07-09T03:20:00	3
1901-07-15T22:10:00	0
1901-07-23T13:58:00	1
1901-07-31T10:33:00	2
1901-08-07T08:02:00	3
1901-08-14T08:27:00	0
1901-08-22T07:52:00	1
1901-08-29T20:21:00	2
1901-09-05T13:27:00	3
1901-09-12T21:18:00	0
1901-09-21T01:33:00	1
1901-09-28T05:35:00	2
1901-10-04T20:52:00	3
1901-10-12T13:11:00	0
1901-10-20T17:57:00	1
1901-10-27T15:06:00	2
1901-11-03T07:24:00	3
1901-11-11T07:34:00	0
1901-11-19T08:23:00	1
1901-11-26T01:17:00	2
1901-12-02T21:49:00	3
1901-12-11T02:53:00	0
